variable,units,mean,stdev,n,group,month,year,county,station,depth
Temperature,degrees Celsius,4.595,1.743,51499,county_month,12,NA,Richmond,NA,NA
Dissolved Oxygen,percent saturation,105.246,5.896,43591,county_month,1,NA,Shelburne,NA,NA
Temperature,degrees Celsius,4.09,1.302,183297,county_month,1,NA,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,104.041,4.182,110171,county_month,2,NA,Shelburne,NA,NA
Temperature,degrees Celsius,2.736,0.774,249172,county_month,2,NA,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,105.534,4.227,181578,county_month,3,NA,Shelburne,NA,NA
Temperature,degrees Celsius,2.856,0.953,349176,county_month,3,NA,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,107.012,3.066,132102,county_month,4,NA,Shelburne,NA,NA
Temperature,degrees Celsius,3.953,1.039,336062,county_month,4,NA,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,107.987,3.423,79987,county_month,5,NA,Shelburne,NA,NA
Temperature,degrees Celsius,6.066,1.406,342246,county_month,5,NA,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,109.28,3.744,43746,county_month,6,NA,Shelburne,NA,NA
Temperature,degrees Celsius,7.482,1.938,356023,county_month,6,NA,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,110.333,3.932,34221,county_month,7,NA,Shelburne,NA,NA
Temperature,degrees Celsius,8.999,2.461,335783,county_month,7,NA,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,108.692,4.349,36576,county_month,8,NA,Shelburne,NA,NA
Temperature,degrees Celsius,9.694,2.77,295334,county_month,8,NA,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,106.36,5.041,52330,county_month,9,NA,Shelburne,NA,NA
Temperature,degrees Celsius,14.295,2.985,282367,county_month,9,NA,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,105.532,5.551,80912,county_month,10,NA,Shelburne,NA,NA
Temperature,degrees Celsius,12.723,3.138,292508,county_month,10,NA,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,104.461,5.773,82591,county_month,11,NA,Shelburne,NA,NA
Temperature,degrees Celsius,8.83,2.001,283443,county_month,11,NA,Shelburne,NA,NA
Dissolved Oxygen,percent saturation,102.907,6.091,52874,county_month,12,NA,Shelburne,NA,NA
Temperature,degrees Celsius,6.371,1.523,220199,county_month,12,NA,Shelburne,NA,NA
Temperature,degrees Celsius,1.238,0.906,25296,county_month,1,NA,Victoria,NA,NA
Temperature,degrees Celsius,0.613,0.894,23040,county_month,2,NA,Victoria,NA,NA
Temperature,degrees Celsius,0.492,0.819,25296,county_month,3,NA,Victoria,NA,NA
Temperature,degrees Celsius,1.395,0.901,24480,county_month,4,NA,Victoria,NA,NA
Temperature,degrees Celsius,4.927,1.988,25296,county_month,5,NA,Victoria,NA,NA
Temperature,degrees Celsius,9.675,2.52,23040,county_month,6,NA,Victoria,NA,NA
Temperature,degrees Celsius,15.593,2.963,21619,county_month,7,NA,Victoria,NA,NA
Temperature,degrees Celsius,19.663,2.179,20036,county_month,8,NA,Victoria,NA,NA
Temperature,degrees Celsius,16.727,1.992,17011,county_month,9,NA,Victoria,NA,NA
Temperature,degrees Celsius,13.645,2.216,19344,county_month,10,NA,Victoria,NA,NA
Temperature,degrees Celsius,7.917,3.315,24372,county_month,11,NA,Victoria,NA,NA
Temperature,degrees Celsius,3.722,2.553,25296,county_month,12,NA,Victoria,NA,NA
Dissolved Oxygen,percent saturation,101.195,2.669,22324,county_month,1,NA,Yarmouth,NA,NA
Salinity,practical salinity units,22.243,4.571,17856,county_month,1,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,2.691,1.463,72429,county_month,1,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,103.145,2.867,20162,county_month,2,NA,Yarmouth,NA,NA
Salinity,practical salinity units,22.232,4.56,16128,county_month,2,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,1.416,0.834,65996,county_month,2,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,104.959,4.093,20901,county_month,3,NA,Yarmouth,NA,NA
Salinity,practical salinity units,23.407,4.841,17856,county_month,3,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,2.375,1.398,76434,county_month,3,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,104.981,3.115,10595,county_month,4,NA,Yarmouth,NA,NA
Salinity,practical salinity units,23.617,5.056,17280,county_month,4,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,6.099,1.489,74883,county_month,4,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,104.652,2.303,8929,county_month,5,NA,Yarmouth,NA,NA
Salinity,practical salinity units,22.09,4.636,17856,county_month,5,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,9.978,1.944,76141,county_month,5,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,106.299,3.697,12591,county_month,6,NA,Yarmouth,NA,NA
Salinity,practical salinity units,21.08,5.924,17862,county_month,6,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,14.062,2.282,81077,county_month,6,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,106.628,3.781,19371,county_month,7,NA,Yarmouth,NA,NA
Salinity,practical salinity units,30.276,4.468,17557,county_month,7,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,16.279,2.32,97030,county_month,7,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,104.422,2.911,11890,county_month,8,NA,Yarmouth,NA,NA
Salinity,practical salinity units,29.772,1.496,15486,county_month,8,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,17.009,2.195,97468,county_month,8,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,100.703,3.316,20618,county_month,9,NA,Yarmouth,NA,NA
Salinity,practical salinity units,28.777,0.957,15034,county_month,9,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,15.993,1.667,87752,county_month,9,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,100.739,3.178,18227,county_month,10,NA,Yarmouth,NA,NA
Salinity,practical salinity units,27.147,3.026,17856,county_month,10,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,14.196,1.309,81228,county_month,10,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,100.466,3.272,16463,county_month,11,NA,Yarmouth,NA,NA
Salinity,practical salinity units,25.715,3.961,17280,county_month,11,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,9.913,1.863,73175,county_month,11,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,100.527,2.349,22322,county_month,12,NA,Yarmouth,NA,NA
Salinity,practical salinity units,23.749,4.588,17856,county_month,12,NA,Yarmouth,NA,NA
Temperature,degrees Celsius,5.957,1.905,74402,county_month,12,NA,Yarmouth,NA,NA
Dissolved Oxygen,percent saturation,105.743,3.671,2755,county_month_year,6,2020,Annapolis,NA,NA
Temperature,degrees Celsius,10.896,1.322,8264,county_month_year,6,2020,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,106.604,3.031,2137,county_month_year,7,2020,Annapolis,NA,NA
Temperature,degrees Celsius,12.462,1.187,13394,county_month_year,7,2020,Annapolis,NA,NA
Temperature,degrees Celsius,14.271,1.178,13396,county_month_year,8,2020,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,97.508,1.503,1892,county_month_year,9,2020,Annapolis,NA,NA
Temperature,degrees Celsius,13.977,0.988,12962,county_month_year,9,2020,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,100.462,3.277,2136,county_month_year,10,2020,Annapolis,NA,NA
Temperature,degrees Celsius,12.455,1.089,13396,county_month_year,10,2020,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,99.785,1.343,2334,county_month_year,11,2020,Annapolis,NA,NA
Temperature,degrees Celsius,9.367,0.98,12933,county_month_year,11,2020,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,100.289,1.292,8929,county_month_year,12,2020,Annapolis,NA,NA
Temperature,degrees Celsius,7.961,1.038,13393,county_month_year,12,2020,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,101.385,0.63,8929,county_month_year,1,2021,Annapolis,NA,NA
Temperature,degrees Celsius,5.595,0.952,13393,county_month_year,1,2021,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,102.279,0.631,8065,county_month_year,2,2021,Annapolis,NA,NA
Temperature,degrees Celsius,4.08,0.72,12097,county_month_year,2,2021,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,104.08,1.144,8930,county_month_year,3,2021,Annapolis,NA,NA
Temperature,degrees Celsius,3.657,0.97,13394,county_month_year,3,2021,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,104.876,1.382,6890,county_month_year,4,2021,Annapolis,NA,NA
Temperature,degrees Celsius,6.179,0.786,12961,county_month_year,4,2021,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,105.701,1.647,4465,county_month_year,5,2021,Annapolis,NA,NA
Salinity,practical salinity units,32.053,0.738,2486,county_month_year,5,2021,Annapolis,NA,NA
Temperature,degrees Celsius,8.576,1.369,18364,county_month_year,5,2021,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,112.106,4.117,2281,county_month_year,6,2021,Annapolis,NA,NA
Salinity,practical salinity units,32.172,0.276,2544,county_month_year,6,2021,Annapolis,NA,NA
Temperature,degrees Celsius,11.72,1.37,15656,county_month_year,6,2021,Annapolis,NA,NA
Temperature,degrees Celsius,12.89,0.964,8186,county_month_year,7,2021,Annapolis,NA,NA
Temperature,degrees Celsius,13.985,0.879,8303,county_month_year,8,2021,Annapolis,NA,NA
Temperature,degrees Celsius,14.069,0.687,8642,county_month_year,9,2021,Annapolis,NA,NA
Temperature,degrees Celsius,13.166,0.51,8929,county_month_year,10,2021,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,110.583,2.345,238,county_month_year,11,2021,Annapolis,NA,NA
Temperature,degrees Celsius,10.968,1.151,8642,county_month_year,11,2021,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,109.565,2.893,744,county_month_year,12,2021,Annapolis,NA,NA
Temperature,degrees Celsius,8.306,1.133,8929,county_month_year,12,2021,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,109.432,2.015,744,county_month_year,1,2022,Annapolis,NA,NA
Temperature,degrees Celsius,5.031,1.41,8929,county_month_year,1,2022,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,111.586,2.326,672,county_month_year,2,2022,Annapolis,NA,NA
Temperature,degrees Celsius,3.936,0.593,8066,county_month_year,2,2022,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,112.646,2.341,744,county_month_year,3,2022,Annapolis,NA,NA
Temperature,degrees Celsius,4.08,0.635,8929,county_month_year,3,2022,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,112.67,2.401,720,county_month_year,4,2022,Annapolis,NA,NA
Temperature,degrees Celsius,5.909,0.698,6442,county_month_year,4,2022,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,113.925,1.673,64,county_month_year,5,2022,Annapolis,NA,NA
Temperature,degrees Celsius,8.296,1.279,5273,county_month_year,5,2022,Annapolis,NA,NA
Temperature,degrees Celsius,10.381,0.969,3327,county_month_year,6,2022,Annapolis,NA,NA
Temperature,degrees Celsius,20.854,0.47,424,county_month_year,7,2017,Antigonish,NA,NA
Temperature,degrees Celsius,21.327,1.134,2976,county_month_year,8,2017,Antigonish,NA,NA
Temperature,degrees Celsius,18.702,1.058,2880,county_month_year,9,2017,Antigonish,NA,NA
Temperature,degrees Celsius,13.931,1.664,2976,county_month_year,10,2017,Antigonish,NA,NA
Temperature,degrees Celsius,9.666,2.167,1593,county_month_year,11,2017,Antigonish,NA,NA
Temperature,degrees Celsius,24.593,1.196,684,county_month_year,7,2018,Antigonish,NA,NA
Temperature,degrees Celsius,23.888,1.551,2955,county_month_year,8,2018,Antigonish,NA,NA
Temperature,degrees Celsius,18.917,2.466,2880,county_month_year,9,2018,Antigonish,NA,NA
Temperature,degrees Celsius,11.776,2.57,2365,county_month_year,10,2018,Antigonish,NA,NA
Temperature,degrees Celsius,14.013,2.052,3610,county_month_year,10,2020,Antigonish,NA,NA
Temperature,degrees Celsius,9.05,1.267,3600,county_month_year,11,2020,Antigonish,NA,NA
Temperature,degrees Celsius,5.983,1.789,3720,county_month_year,12,2020,Antigonish,NA,NA
Temperature,degrees Celsius,2.386,0.762,3720,county_month_year,1,2021,Antigonish,NA,NA
Temperature,degrees Celsius,-0.031,0.72,3360,county_month_year,2,2021,Antigonish,NA,NA
Temperature,degrees Celsius,-0.587,0.672,3720,county_month_year,3,2021,Antigonish,NA,NA
Temperature,degrees Celsius,2.947,1.448,3600,county_month_year,4,2021,Antigonish,NA,NA
Temperature,degrees Celsius,6.788,1.833,3720,county_month_year,5,2021,Antigonish,NA,NA
Salinity,practical salinity units,29.177,0.145,893,county_month_year,6,2021,Antigonish,NA,NA
Temperature,degrees Celsius,17.663,3.465,12054,county_month_year,6,2021,Antigonish,NA,NA
Salinity,practical salinity units,29.21,0.26,4464,county_month_year,7,2021,Antigonish,NA,NA
Temperature,degrees Celsius,19.915,2.221,26043,county_month_year,7,2021,Antigonish,NA,NA
Salinity,practical salinity units,29.43,0.355,4464,county_month_year,8,2021,Antigonish,NA,NA
Temperature,degrees Celsius,22.359,1.804,26043,county_month_year,8,2021,Antigonish,NA,NA
Salinity,practical salinity units,29.788,0.184,4320,county_month_year,9,2021,Antigonish,NA,NA
Temperature,degrees Celsius,19.3,1.198,25203,county_month_year,9,2021,Antigonish,NA,NA
Dissolved Oxygen,percent saturation,94.322,5.257,1637,county_month_year,10,2021,Antigonish,NA,NA
Salinity,practical salinity units,28.502,0.385,4458,county_month_year,10,2021,Antigonish,NA,NA
Temperature,degrees Celsius,14.669,1.674,22767,county_month_year,10,2021,Antigonish,NA,NA
Dissolved Oxygen,percent saturation,94.704,3.528,4320,county_month_year,11,2021,Antigonish,NA,NA
Salinity,practical salinity units,25.749,2.825,4320,county_month_year,11,2021,Antigonish,NA,NA
Temperature,degrees Celsius,8.83,1.822,16560,county_month_year,11,2021,Antigonish,NA,NA
Dissolved Oxygen,percent saturation,93.716,3.709,4464,county_month_year,12,2021,Antigonish,NA,NA
Salinity,practical salinity units,22.011,1.594,4464,county_month_year,12,2021,Antigonish,NA,NA
Temperature,degrees Celsius,3.394,2.36,17112,county_month_year,12,2021,Antigonish,NA,NA
Dissolved Oxygen,percent saturation,95.234,3.876,4464,county_month_year,1,2022,Antigonish,NA,NA
Salinity,practical salinity units,22.931,1.157,4464,county_month_year,1,2022,Antigonish,NA,NA
Temperature,degrees Celsius,0.385,1.062,17112,county_month_year,1,2022,Antigonish,NA,NA
Dissolved Oxygen,percent saturation,95.213,5.774,4032,county_month_year,2,2022,Antigonish,NA,NA
Salinity,practical salinity units,20.698,2.015,4032,county_month_year,2,2022,Antigonish,NA,NA
Temperature,degrees Celsius,0.123,0.743,15456,county_month_year,2,2022,Antigonish,NA,NA
Dissolved Oxygen,percent saturation,101.699,6.298,1096,county_month_year,3,2022,Antigonish,NA,NA
Salinity,practical salinity units,22.73,0.95,4464,county_month_year,3,2022,Antigonish,NA,NA
Temperature,degrees Celsius,0.962,1.434,17112,county_month_year,3,2022,Antigonish,NA,NA
Salinity,practical salinity units,23.072,0.64,4320,county_month_year,4,2022,Antigonish,NA,NA
Temperature,degrees Celsius,5.177,2.296,16560,county_month_year,4,2022,Antigonish,NA,NA
Dissolved Oxygen,percent saturation,107.979,6.949,897,county_month_year,5,2022,Antigonish,NA,NA
Salinity,practical salinity units,25.21,1.44,4460,county_month_year,5,2022,Antigonish,NA,NA
Temperature,degrees Celsius,11.01,3.444,18009,county_month_year,5,2022,Antigonish,NA,NA
Dissolved Oxygen,percent saturation,105.817,9.534,3282,county_month_year,6,2022,Antigonish,NA,NA
Salinity,practical salinity units,26.682,1.564,4320,county_month_year,6,2022,Antigonish,NA,NA
Temperature,degrees Celsius,15.49,3.556,20881,county_month_year,6,2022,Antigonish,NA,NA
Salinity,practical salinity units,26.134,0.935,4464,county_month_year,7,2022,Antigonish,NA,NA
Temperature,degrees Celsius,21.142,2.557,21578,county_month_year,7,2022,Antigonish,NA,NA
Salinity,practical salinity units,28.719,0.769,4464,county_month_year,8,2022,Antigonish,NA,NA
Temperature,degrees Celsius,22.693,1.46,21577,county_month_year,8,2022,Antigonish,NA,NA
Salinity,practical salinity units,27.927,1.779,4112,county_month_year,9,2022,Antigonish,NA,NA
Temperature,degrees Celsius,18.745,2.594,20431,county_month_year,9,2022,Antigonish,NA,NA
Temperature,degrees Celsius,15.607,0.626,7508,county_month_year,10,2022,Antigonish,NA,NA
Temperature,degrees Celsius,17.588,1.379,828,county_month_year,9,2016,Cape Breton,NA,NA
Temperature,degrees Celsius,13.158,1.859,1488,county_month_year,10,2016,Cape Breton,NA,NA
Temperature,degrees Celsius,9.209,0.876,1440,county_month_year,11,2016,Cape Breton,NA,NA
Temperature,degrees Celsius,3.996,1.803,1488,county_month_year,12,2016,Cape Breton,NA,NA
Temperature,degrees Celsius,0.958,0.85,1488,county_month_year,1,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,-0.226,0.761,1344,county_month_year,2,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,-0.264,0.654,1488,county_month_year,3,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,2.375,2.245,1440,county_month_year,4,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,6.124,2.056,1488,county_month_year,5,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,12.338,3.475,1440,county_month_year,6,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,19.475,2.12,1446,county_month_year,7,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,20.739,1.116,1488,county_month_year,8,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,18.287,0.925,1440,county_month_year,9,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,14.571,1.415,1488,county_month_year,10,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,9.342,1.999,1440,county_month_year,11,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,4.098,1.926,1488,county_month_year,12,2017,Cape Breton,NA,NA
Temperature,degrees Celsius,-0.103,0.703,1488,county_month_year,1,2018,Cape Breton,NA,NA
Temperature,degrees Celsius,-0.909,0.29,1344,county_month_year,2,2018,Cape Breton,NA,NA
Temperature,degrees Celsius,0.037,0.865,1488,county_month_year,3,2018,Cape Breton,NA,NA
Temperature,degrees Celsius,2.126,1.732,1440,county_month_year,4,2018,Cape Breton,NA,NA
Temperature,degrees Celsius,7.048,2.363,1426,county_month_year,5,2018,Cape Breton,NA,NA
Dissolved Oxygen,percent saturation,97.532,1.791,4385,county_month_year,10,2020,Colchester,NA,NA
Temperature,degrees Celsius,13.627,1.909,8037,county_month_year,10,2020,Colchester,NA,NA
Dissolved Oxygen,percent saturation,97.963,1.282,4321,county_month_year,11,2020,Colchester,NA,NA
Temperature,degrees Celsius,7.802,1.404,7921,county_month_year,11,2020,Colchester,NA,NA
Dissolved Oxygen,percent saturation,97.133,1.289,4466,county_month_year,12,2020,Colchester,NA,NA
Temperature,degrees Celsius,4.421,1.77,8186,county_month_year,12,2020,Colchester,NA,NA
Dissolved Oxygen,percent saturation,96.553,0.837,1086,county_month_year,1,2021,Colchester,NA,NA
Temperature,degrees Celsius,0.198,1.038,8185,county_month_year,1,2021,Colchester,NA,NA
Temperature,degrees Celsius,-1.246,0.277,7394,county_month_year,2,2021,Colchester,NA,NA
Temperature,degrees Celsius,-0.529,0.911,8185,county_month_year,3,2021,Colchester,NA,NA
Temperature,degrees Celsius,4.081,1.416,7921,county_month_year,4,2021,Colchester,NA,NA
Temperature,degrees Celsius,8.771,2.086,8186,county_month_year,5,2021,Colchester,NA,NA
Dissolved Oxygen,percent saturation,97.654,1.228,926,county_month_year,6,2021,Colchester,NA,NA
Temperature,degrees Celsius,14.917,2.104,7910,county_month_year,6,2021,Colchester,NA,NA
Dissolved Oxygen,percent saturation,96.794,4.008,4464,county_month_year,7,2021,Colchester,NA,NA
Temperature,degrees Celsius,18.288,1.688,8184,county_month_year,7,2021,Colchester,NA,NA
Dissolved Oxygen,percent saturation,100.78,4.673,4464,county_month_year,8,2021,Colchester,NA,NA
Temperature,degrees Celsius,20.485,1.451,8184,county_month_year,8,2021,Colchester,NA,NA
Dissolved Oxygen,percent saturation,100.548,5.299,4320,county_month_year,9,2021,Colchester,NA,NA
Temperature,degrees Celsius,18.46,0.914,7920,county_month_year,9,2021,Colchester,NA,NA
Dissolved Oxygen,percent saturation,101.394,3.338,4464,county_month_year,10,2021,Colchester,NA,NA
Temperature,degrees Celsius,14.675,1.443,8184,county_month_year,10,2021,Colchester,NA,NA
Dissolved Oxygen,percent saturation,100.393,2.143,4320,county_month_year,11,2021,Colchester,NA,NA
Temperature,degrees Celsius,8.79,1.855,7920,county_month_year,11,2021,Colchester,NA,NA
Dissolved Oxygen,percent saturation,99.177,1.484,4464,county_month_year,12,2021,Colchester,NA,NA
Temperature,degrees Celsius,2.323,2.151,8184,county_month_year,12,2021,Colchester,NA,NA
Dissolved Oxygen,percent saturation,100.132,1.692,3933,county_month_year,1,2022,Colchester,NA,NA
Temperature,degrees Celsius,-1.241,0.52,8184,county_month_year,1,2022,Colchester,NA,NA
Dissolved Oxygen,percent saturation,101.971,2.208,4032,county_month_year,2,2022,Colchester,NA,NA
Temperature,degrees Celsius,-1.309,0.358,7392,county_month_year,2,2022,Colchester,NA,NA
Dissolved Oxygen,percent saturation,104.514,1.953,4464,county_month_year,3,2022,Colchester,NA,NA
Temperature,degrees Celsius,-0.806,0.732,8184,county_month_year,3,2022,Colchester,NA,NA
Dissolved Oxygen,percent saturation,107.656,2.029,4320,county_month_year,4,2022,Colchester,NA,NA
Temperature,degrees Celsius,2.958,1.525,7920,county_month_year,4,2022,Colchester,NA,NA
Dissolved Oxygen,percent saturation,111.545,3.58,1251,county_month_year,5,2022,Colchester,NA,NA
Temperature,degrees Celsius,8.128,2.042,6566,county_month_year,5,2022,Colchester,NA,NA
Temperature,degrees Celsius,12.577,0.359,312,county_month_year,6,2022,Colchester,NA,NA
Temperature,degrees Celsius,4.036,0.921,1488,county_month_year,1,2016,Digby,NA,NA
Temperature,degrees Celsius,3.408,0.589,4176,county_month_year,2,2016,Digby,NA,NA
Temperature,degrees Celsius,3.773,0.36,4464,county_month_year,3,2016,Digby,NA,NA
Temperature,degrees Celsius,5.299,0.818,4320,county_month_year,4,2016,Digby,NA,NA
Temperature,degrees Celsius,7.92,1.107,4464,county_month_year,5,2016,Digby,NA,NA
Temperature,degrees Celsius,10.6,1.281,4320,county_month_year,6,2016,Digby,NA,NA
Temperature,degrees Celsius,12.92,1.185,4464,county_month_year,7,2016,Digby,NA,NA
Temperature,degrees Celsius,14.208,1.083,4464,county_month_year,8,2016,Digby,NA,NA
Temperature,degrees Celsius,14.174,0.865,4320,county_month_year,9,2016,Digby,NA,NA
Temperature,degrees Celsius,13.015,0.296,1668,county_month_year,10,2016,Digby,NA,NA
Dissolved Oxygen,percent saturation,101.48,0.563,2031,county_month_year,1,2019,Digby,NA,NA
Temperature,degrees Celsius,1.597,1.6,13013,county_month_year,1,2019,Digby,NA,NA
Dissolved Oxygen,percent saturation,100.793,0.436,3947,county_month_year,2,2019,Digby,NA,NA
Temperature,degrees Celsius,1.242,1.662,25451,county_month_year,2,2019,Digby,NA,NA
Dissolved Oxygen,percent saturation,105.397,2.791,4369,county_month_year,3,2019,Digby,NA,NA
Temperature,degrees Celsius,1.772,1.35,28173,county_month_year,3,2019,Digby,NA,NA
Dissolved Oxygen,percent saturation,103.518,0.943,4229,county_month_year,4,2019,Digby,NA,NA
Temperature,degrees Celsius,4.457,1.134,27269,county_month_year,4,2019,Digby,NA,NA
Dissolved Oxygen,percent saturation,104.112,0.895,2058,county_month_year,5,2019,Digby,NA,NA
Temperature,degrees Celsius,6.926,1.069,25868,county_month_year,5,2019,Digby,NA,NA
Temperature,degrees Celsius,11.355,1.195,11429,county_month_year,6,2019,Digby,NA,NA
Temperature,degrees Celsius,13.395,1.318,11810,county_month_year,7,2019,Digby,NA,NA
Temperature,degrees Celsius,15.983,0.824,11817,county_month_year,8,2019,Digby,NA,NA
Temperature,degrees Celsius,14.659,0.755,11435,county_month_year,9,2019,Digby,NA,NA
Temperature,degrees Celsius,12.564,0.892,10900,county_month_year,10,2019,Digby,NA,NA
Temperature,degrees Celsius,2.636,0.304,3889,county_month_year,2,2020,Digby,NA,NA
Temperature,degrees Celsius,3.581,0.683,19344,county_month_year,3,2020,Digby,NA,NA
Temperature,degrees Celsius,5.21,0.385,18440,county_month_year,4,2020,Digby,NA,NA
Temperature,degrees Celsius,7.202,1.119,15875,county_month_year,5,2020,Digby,NA,NA
Dissolved Oxygen,percent saturation,109.031,3.859,6418,county_month_year,7,2020,Digby,NA,NA
Temperature,degrees Celsius,12.875,1.528,31457,county_month_year,7,2020,Digby,NA,NA
Dissolved Oxygen,percent saturation,108.272,4.29,13396,county_month_year,8,2020,Digby,NA,NA
Temperature,degrees Celsius,13.915,1.526,65476,county_month_year,8,2020,Digby,NA,NA
Dissolved Oxygen,percent saturation,105.342,3.701,12962,county_month_year,9,2020,Digby,NA,NA
Temperature,degrees Celsius,13.79,1.168,63362,county_month_year,9,2020,Digby,NA,NA
Dissolved Oxygen,percent saturation,103.262,3.451,13396,county_month_year,10,2020,Digby,NA,NA
Temperature,degrees Celsius,12.725,1.075,65476,county_month_year,10,2020,Digby,NA,NA
Dissolved Oxygen,percent saturation,104.022,2.688,12464,county_month_year,11,2020,Digby,NA,NA
Temperature,degrees Celsius,10.001,0.713,62093,county_month_year,11,2020,Digby,NA,NA
Dissolved Oxygen,percent saturation,103.448,1.686,4464,county_month_year,12,2020,Digby,NA,NA
Temperature,degrees Celsius,7.974,0.978,48363,county_month_year,12,2020,Digby,NA,NA
Dissolved Oxygen,percent saturation,104.724,1.228,4464,county_month_year,1,2021,Digby,NA,NA
Temperature,degrees Celsius,5.491,0.994,48363,county_month_year,1,2021,Digby,NA,NA
Dissolved Oxygen,percent saturation,106.823,2.222,4032,county_month_year,2,2021,Digby,NA,NA
Temperature,degrees Celsius,3.402,1.084,43683,county_month_year,2,2021,Digby,NA,NA
Dissolved Oxygen,percent saturation,105.368,1.526,4464,county_month_year,3,2021,Digby,NA,NA
Salinity,practical salinity units,31.175,0.363,2204,county_month_year,3,2021,Digby,NA,NA
Temperature,degrees Celsius,3.282,1.027,51987,county_month_year,3,2021,Digby,NA,NA
Dissolved Oxygen,percent saturation,106.918,1.001,165,county_month_year,4,2021,Digby,NA,NA
Salinity,practical salinity units,31.73,0.363,4320,county_month_year,4,2021,Digby,NA,NA
Temperature,degrees Celsius,5.965,0.866,55443,county_month_year,4,2021,Digby,NA,NA
Salinity,practical salinity units,31.283,0.231,4464,county_month_year,5,2021,Digby,NA,NA
Temperature,degrees Celsius,8.577,1.576,57291,county_month_year,5,2021,Digby,NA,NA
Dissolved Oxygen,percent saturation,105.496,3.542,5725,county_month_year,6,2021,Digby,NA,NA
Salinity,practical salinity units,29.911,0.362,4315,county_month_year,6,2021,Digby,NA,NA
Temperature,degrees Celsius,12.045,2.337,55149,county_month_year,6,2021,Digby,NA,NA
Dissolved Oxygen,percent saturation,104.336,4.565,13395,county_month_year,7,2021,Digby,NA,NA
Salinity,practical salinity units,29.988,0.445,4464,county_month_year,7,2021,Digby,NA,NA
Temperature,degrees Celsius,13.741,1.847,57291,county_month_year,7,2021,Digby,NA,NA
Dissolved Oxygen,percent saturation,98.639,4.742,12655,county_month_year,8,2021,Digby,NA,NA
Salinity,practical salinity units,26.017,2.543,4464,county_month_year,8,2021,Digby,NA,NA
